product_id,date,sales,knn_avg_distance,knn_flag
P001,2023-01-01,56,0.0,False
P001,2023-01-02,35,0.0,False
P001,2023-01-03,44,0.0,False
P001,2023-01-04,45,0.0,False
P001,2023-01-05,30,1.8,True
P001,2023-01-06,34,0.0,False
P001,2023-01-07,55,0.0,False
P001,2023-01-08,52,0.0,False
P001,2023-01-09,40,0.0,False
P001,2023-01-10,36,0.0,False
P001,2023-01-11,44,0.0,False
P001,2023-01-12,44,0.0,False
P001,2023-01-13,40,0.0,False
P001,2023-01-14,60,0.0,False
P001,2023-01-15,56,0.0,False
P001,2023-01-16,36,0.0,False
P001,2023-01-17,42,0.0,False
P001,2023-01-18,35,0.0,False
P001,2023-01-19,45,0.0,False
P001,2023-01-20,40,0.0,False
P001,2023-01-21,53,0.0,False
P001,2023-01-22,51,0.0,False
P001,2023-01-23,46,0.0,False
P001,2023-01-24,39,0.0,False
P001,2023-01-25,38,0.0,False
P001,2023-01-26,38,0.0,False
P001,2023-01-27,43,0.0,False
P001,2023-01-28,56,0.0,False
P001,2023-01-29,56,0.0,False
P001,2023-01-30,42,0.0,False
P001,2023-01-31,51,0.0,False
P001,2023-02-01,38,0.0,False
P001,2023-02-02,38,0.0,False
P001,2023-02-03,36,0.0,False
P001,2023-02-04,57,0.0,False
P001,2023-02-05,60,0.0,False
P001,2023-02-06,40,0.0,False
P001,2023-02-07,36,0.0,False
P001,2023-02-08,36,0.0,False
P001,2023-02-09,44,0.0,False
P001,2023-02-10,44,0.0,False
P001,2023-02-11,57,0.0,False
P001,2023-02-12,51,0.0,False
P001,2023-02-13,42,0.0,False
P001,2023-02-14,41,0.0,False
P001,2023-02-15,42,0.0,False
P001,2023-02-16,45,0.0,False
P001,2023-02-17,42,0.0,False
P001,2023-02-18,58,0.0,False
P001,2023-02-19,55,0.0,False
P001,2023-02-20,42,0.0,False
P001,2023-02-21,44,0.0,False
P001,2023-02-22,33,0.4,True
P001,2023-02-23,39,0.0,False
P001,2023-02-24,38,0.0,False
P001,2023-02-25,51,0.0,False
P001,2023-02-26,53,0.0,False
P001,2023-02-27,48,0.0,False
P001,2023-02-28,36,0.0,False
P001,2023-03-01,45,0.0,False
P001,2023-03-02,32,0.0,False
P001,2023-03-03,39,0.0,False
P001,2023-03-04,55,0.0,False
P001,2023-03-05,58,0.0,False
P001,2023-03-06,44,0.0,False
P001,2023-03-07,45,0.0,False
P001,2023-03-08,39,0.0,False
P001,2023-03-09,38,0.0,False
P001,2023-03-10,45,0.0,False
P001,2023-03-11,54,0.0,False
P001,2023-03-12,48,0.0,False
P001,2023-03-13,35,0.0,False
P001,2023-03-14,432,296.2,True
P001,2023-03-15,43,0.0,False
P001,2023-03-16,41,0.0,False
P001,2023-03-17,44,0.0,False
P001,2023-03-18,53,0.0,False
P001,2023-03-19,56,0.0,False
P001,2023-03-20,44,0.0,False
P001,2023-03-21,39,0.0,False
P001,2023-03-22,43,0.0,False
P001,2023-03-23,38,0.0,False
P001,2023-03-24,39,0.0,False
P001,2023-03-25,53,0.0,False
P001,2023-03-26,49,0.0,False
P001,2023-03-27,43,0.0,False
P001,2023-03-28,39,0.0,False
P001,2023-03-29,41,0.0,False
P001,2023-03-30,43,0.0,False
P001,2023-03-31,43,0.0,False
P001,2023-04-01,58,0.0,False
P001,2023-04-02,54,0.0,False
P001,2023-04-03,39,0.0,False
P001,2023-04-04,41,0.0,False
P001,2023-04-05,33,0.4,True
P001,2023-04-06,34,0.0,False
P001,2023-04-07,34,0.0,False
P001,2023-04-08,50,0.0,False
P001,2023-04-09,57,0.0,False
P001,2023-04-10,36,0.0,False
P001,2023-04-11,39,0.0,False
P001,2023-04-12,48,0.0,False
P001,2023-04-13,39,0.0,False
P001,2023-04-14,45,0.0,False
P001,2023-04-15,50,0.0,False
