product_id,date,sales,knn_avg_distance,knn_flag,z_score,z_flag,modified_z,mz_flag
P001,2023-01-01,56,0.0,False,-0.0168528873759112,False,1.1241666666666668,False
P001,2023-01-02,35,0.0,False,-0.07371884568268319,False,-1.2365833333333334,False
P001,2023-01-03,44,0.0,False,-0.04934772069406663,False,-0.22483333333333333,False
P001,2023-01-04,45,0.0,False,-0.04663981791755367,False,-0.11241666666666666,False
P001,2023-01-05,30,1.8,True,-0.08725835956524795,False,-1.7986666666666666,False
P001,2023-01-06,34,0.0,False,-0.07642674845919616,False,-1.349,False
P001,2023-01-07,55,0.0,False,-0.019560790152424148,False,1.01175,False
P001,2023-01-08,52,0.0,False,-0.027684498481963006,False,0.6745,False
P001,2023-01-09,40,0.0,False,-0.06017933180011843,False,-0.6745,False
P001,2023-01-10,36,0.0,False,-0.07101094290617024,False,-1.1241666666666668,False
P001,2023-01-11,44,0.0,False,-0.04934772069406663,False,-0.22483333333333333,False
P001,2023-01-12,44,0.0,False,-0.04934772069406663,False,-0.22483333333333333,False
P001,2023-01-13,40,0.0,False,-0.06017933180011843,False,-0.6745,False
P001,2023-01-14,60,0.0,False,-0.006021276269859387,False,1.5738333333333332,False
P001,2023-01-15,56,0.0,False,-0.0168528873759112,False,1.1241666666666668,False
P001,2023-01-16,36,0.0,False,-0.07101094290617024,False,-1.1241666666666668,False
P001,2023-01-17,42,0.0,False,-0.054763526247092534,False,-0.44966666666666666,False
P001,2023-01-18,35,0.0,False,-0.07371884568268319,False,-1.2365833333333334,False
P001,2023-01-19,45,0.0,False,-0.04663981791755367,False,-0.11241666666666666,False
P001,2023-01-20,40,0.0,False,-0.06017933180011843,False,-0.6745,False
P001,2023-01-21,53,0.0,False,-0.024976595705450053,False,0.7869166666666666,False
P001,2023-01-22,51,0.0,False,-0.03039240125847596,False,0.5620833333333334,False
P001,2023-01-23,46,0.0,False,-0.04393191514104072,False,0.0,False
P001,2023-01-24,39,0.0,False,-0.06288723457663138,False,-0.7869166666666666,False
P001,2023-01-25,38,0.0,False,-0.06559513735314434,False,-0.8993333333333333,False
P001,2023-01-26,38,0.0,False,-0.06559513735314434,False,-0.8993333333333333,False
P001,2023-01-27,43,0.0,False,-0.05205562347057958,False,-0.33725,False
P001,2023-01-28,56,0.0,False,-0.0168528873759112,False,1.1241666666666668,False
P001,2023-01-29,56,0.0,False,-0.0168528873759112,False,1.1241666666666668,False
P001,2023-01-30,42,0.0,False,-0.054763526247092534,False,-0.44966666666666666,False
P001,2023-01-31,51,0.0,False,-0.03039240125847596,False,0.5620833333333334,False
P001,2023-02-01,38,0.0,False,-0.06559513735314434,False,-0.8993333333333333,False
P001,2023-02-02,38,0.0,False,-0.06559513735314434,False,-0.8993333333333333,False
P001,2023-02-03,36,0.0,False,-0.07101094290617024,False,-1.1241666666666668,False
P001,2023-02-04,57,0.0,False,-0.014144984599398244,False,1.2365833333333334,False
P001,2023-02-05,60,0.0,False,-0.006021276269859387,False,1.5738333333333332,False
P001,2023-02-06,40,0.0,False,-0.06017933180011843,False,-0.6745,False
P001,2023-02-07,36,0.0,False,-0.07101094290617024,False,-1.1241666666666668,False
P001,2023-02-08,36,0.0,False,-0.07101094290617024,False,-1.1241666666666668,False
P001,2023-02-09,44,0.0,False,-0.04934772069406663,False,-0.22483333333333333,False
P001,2023-02-10,44,0.0,False,-0.04934772069406663,False,-0.22483333333333333,False
P001,2023-02-11,57,0.0,False,-0.014144984599398244,False,1.2365833333333334,False
P001,2023-02-12,51,0.0,False,-0.03039240125847596,False,0.5620833333333334,False
P001,2023-02-13,42,0.0,False,-0.054763526247092534,False,-0.44966666666666666,False
P001,2023-02-14,41,0.0,False,-0.05747142902360548,False,-0.5620833333333334,False
P001,2023-02-15,42,0.0,False,-0.054763526247092534,False,-0.44966666666666666,False
P001,2023-02-16,45,0.0,False,-0.04663981791755367,False,-0.11241666666666666,False
P001,2023-02-17,42,0.0,False,-0.054763526247092534,False,-0.44966666666666666,False
P001,2023-02-18,58,0.0,False,-0.011437081822885293,False,1.349,False
P001,2023-02-19,55,0.0,False,-0.019560790152424148,False,1.01175,False
P001,2023-02-20,42,0.0,False,-0.054763526247092534,False,-0.44966666666666666,False
P001,2023-02-21,44,0.0,False,-0.04934772069406663,False,-0.22483333333333333,False
P001,2023-02-22,33,0.4,True,-0.0791346512357091,False,-1.4614166666666666,False
P001,2023-02-23,39,0.0,False,-0.06288723457663138,False,-0.7869166666666666,False
P001,2023-02-24,38,0.0,False,-0.06559513735314434,False,-0.8993333333333333,False
P001,2023-02-25,51,0.0,False,-0.03039240125847596,False,0.5620833333333334,False
P001,2023-02-26,53,0.0,False,-0.024976595705450053,False,0.7869166666666666,False
P001,2023-02-27,48,0.0,False,-0.03851610958801482,False,0.22483333333333333,False
P001,2023-02-28,36,0.0,False,-0.07101094290617024,False,-1.1241666666666668,False
P001,2023-03-01,45,0.0,False,-0.04663981791755367,False,-0.11241666666666666,False
P001,2023-03-02,32,0.0,False,-0.08184255401222205,False,-1.5738333333333332,False
P001,2023-03-03,39,0.0,False,-0.06288723457663138,False,-0.7869166666666666,False
P001,2023-03-04,55,0.0,False,-0.019560790152424148,False,1.01175,False
P001,2023-03-05,58,0.0,False,-0.011437081822885293,False,1.349,False
P001,2023-03-06,44,0.0,False,-0.04934772069406663,False,-0.22483333333333333,False
P001,2023-03-07,45,0.0,False,-0.04663981791755367,False,-0.11241666666666666,False
P001,2023-03-08,39,0.0,False,-0.06288723457663138,False,-0.7869166666666666,False
P001,2023-03-09,38,0.0,False,-0.06559513735314434,False,-0.8993333333333333,False
P001,2023-03-10,45,0.0,False,-0.04663981791755367,False,-0.11241666666666666,False
P001,2023-03-11,54,0.0,False,-0.0222686929289371,False,0.8993333333333333,False
P001,2023-03-12,48,0.0,False,-0.03851610958801482,False,0.22483333333333333,False
