product_id,date,sales,sales_lag_1,sales_lag_7,rolling_mean_7,day_of_week,knn_avg_distance,knn_flag
P001,2023-01-01,56,,,,6,,False
P001,2023-01-02,35,56.0,,,0,,False
P001,2023-01-03,44,35.0,,,1,,False
P001,2023-01-04,45,44.0,,,2,,False
P001,2023-01-05,30,45.0,,,3,,False
P001,2023-01-06,34,30.0,,,4,,False
P001,2023-01-07,55,34.0,,,5,,False
P001,2023-01-08,52,55.0,56.0,42.714285714285715,6,0.01115993676787827,False
P001,2023-01-09,40,52.0,35.0,42.142857142857146,0,0.01860102795710428,False
P001,2023-01-10,36,40.0,44.0,42.857142857142854,1,0.019406643908747054,False
P001,2023-01-11,44,36.0,45.0,41.714285714285715,2,0.020826693205057402,False
P001,2023-01-12,44,44.0,30.0,41.57142857142857,3,0.02319202687641466,False
P001,2023-01-13,40,44.0,34.0,43.57142857142857,4,0.01807461197173245,False
P001,2023-01-14,60,40.0,55.0,44.42857142857143,5,0.01249657946136261,False
P001,2023-01-15,56,60.0,52.0,45.142857142857146,6,0.009629014731666757,False
P001,2023-01-16,36,56.0,40.0,45.714285714285715,0,0.015833755389329334,False
P001,2023-01-17,42,36.0,36.0,45.142857142857146,1,0.01251451551832003,False
P001,2023-01-18,35,42.0,44.0,46.0,2,0.012366408465353047,False
P001,2023-01-19,45,35.0,44.0,44.714285714285715,3,0.019712221184963654,False
P001,2023-01-20,40,45.0,40.0,44.857142857142854,4,0.014818349360469569,False
P001,2023-01-21,53,40.0,60.0,44.857142857142854,5,0.01555468918056408,False
P001,2023-01-22,51,53.0,56.0,43.857142857142854,6,0.00967234912830686,False
P001,2023-01-23,46,51.0,36.0,43.142857142857146,0,0.017575285829052788,False
P001,2023-01-24,39,46.0,42.0,44.57142857142857,1,0.015503420048638788,False
P001,2023-01-25,38,39.0,35.0,44.142857142857146,2,0.015791666237847963,False
P001,2023-01-26,38,38.0,45.0,44.57142857142857,3,0.014109646756965164,False
P001,2023-01-27,43,38.0,40.0,43.57142857142857,4,0.014007651220762848,False
P001,2023-01-28,56,43.0,53.0,44.0,5,0.011995959043755833,False
P001,2023-01-29,56,56.0,51.0,44.42857142857143,6,0.011048218482198717,False
P001,2023-01-30,42,56.0,46.0,45.142857142857146,0,0.012798269226636832,False
P001,2023-01-31,51,42.0,39.0,44.57142857142857,1,0.018040234884982652,False
P001,2023-02-01,38,51.0,38.0,46.285714285714285,2,0.019374071523508476,False
P001,2023-02-02,38,38.0,38.0,46.285714285714285,3,0.013056347479079097,False
P001,2023-02-03,36,38.0,43.0,46.285714285714285,4,0.011045772930838943,False
P001,2023-02-04,57,36.0,56.0,45.285714285714285,5,0.01532958346653911,False
P001,2023-02-05,60,57.0,56.0,45.42857142857143,6,0.011987695840260307,False
P001,2023-02-06,40,60.0,42.0,46.0,0,0.01576314135184294,False
P001,2023-02-07,36,40.0,51.0,45.714285714285715,1,0.023082022765473935,False
P001,2023-02-08,36,36.0,38.0,43.57142857142857,2,0.0191761718795687,False
P001,2023-02-09,44,36.0,38.0,43.285714285714285,3,0.0169215383870092,False
P001,2023-02-10,44,44.0,36.0,44.142857142857146,4,0.012724699322573313,False
P001,2023-02-11,57,44.0,57.0,45.285714285714285,5,0.011343513710632455,False
P001,2023-02-12,51,57.0,60.0,45.285714285714285,6,0.016732449239711067,False
P001,2023-02-13,42,51.0,40.0,44.0,0,0.013105549527873897,False
P001,2023-02-14,41,42.0,36.0,44.285714285714285,1,0.013525312338880047,False
P001,2023-02-15,42,41.0,36.0,45.0,2,0.012668524017653723,False
P001,2023-02-16,45,42.0,44.0,45.857142857142854,3,0.012557914624602656,False
P001,2023-02-17,42,45.0,44.0,46.0,4,0.013618407873489582,False
P001,2023-02-18,58,42.0,57.0,45.714285714285715,5,0.010837409148223086,False
P001,2023-02-19,55,58.0,51.0,45.857142857142854,6,0.00912335487181808,False
P001,2023-02-20,42,55.0,42.0,46.42857142857143,0,0.01055507128607364,False
P001,2023-02-21,44,42.0,41.0,46.42857142857143,1,0.01062961920319508,False
P001,2023-02-22,33,44.0,42.0,46.857142857142854,2,0.014966805798748229,False
P001,2023-02-23,39,33.0,45.0,45.57142857142857,3,0.0157990919173968,False
P001,2023-02-24,38,39.0,42.0,44.714285714285715,4,0.012290693529342835,False
P001,2023-02-25,51,38.0,58.0,44.142857142857146,5,0.013141099236526866,False
P001,2023-02-26,53,51.0,55.0,43.142857142857146,6,0.010643356306788539,False
P001,2023-02-27,48,53.0,42.0,42.857142857142854,0,0.016733039014907566,False
P001,2023-02-28,36,48.0,44.0,43.714285714285715,1,0.020968786495448147,False
P001,2023-03-01,45,36.0,33.0,42.57142857142857,2,0.020034947807595627,False
P001,2023-03-02,32,45.0,39.0,44.285714285714285,3,0.013642227789194963,False
P001,2023-03-03,39,32.0,38.0,43.285714285714285,4,0.021153595419535792,False
P001,2023-03-04,55,39.0,51.0,43.42857142857143,5,0.01339213406073864,False
P001,2023-03-05,58,55.0,53.0,44.0,6,0.013169034697122706,False
P001,2023-03-06,44,58.0,48.0,44.714285714285715,0,0.013711701800604442,False
P001,2023-03-07,45,44.0,36.0,44.142857142857146,1,0.015530276549192184,False
P001,2023-03-08,39,45.0,45.0,45.42857142857143,2,0.01099596351737215,False
P001,2023-03-09,38,39.0,32.0,44.57142857142857,3,0.015422037837607963,False
P001,2023-03-10,45,38.0,39.0,45.42857142857143,4,0.011888266881773725,False
P001,2023-03-11,54,45.0,55.0,46.285714285714285,5,0.014155297206033288,False
P001,2023-03-12,48,54.0,58.0,46.142857142857146,6,0.015371236094107657,False
P001,2023-03-13,35,48.0,44.0,44.714285714285715,0,0.019571513262745085,False
P001,2023-03-14,432,35.0,45.0,43.42857142857143,1,0.835119709577628,True
P001,2023-03-15,43,432.0,39.0,98.71428571428571,2,0.8750352449666711,True
P001,2023-03-16,41,43.0,38.0,99.28571428571429,3,0.26753865632744994,True
P001,2023-03-17,44,41.0,45.0,99.71428571428571,4,0.2569259710508288,False
P001,2023-03-18,53,44.0,54.0,99.57142857142857,5,0.2577378144826976,False
P001,2023-03-19,56,53.0,48.0,99.42857142857143,6,0.2627729920807141,True
P001,2023-03-20,44,56.0,35.0,100.57142857142857,0,0.27012339465909363,True
P001,2023-03-21,39,44.0,432.0,101.85714285714286,1,0.8760096579867135,True
P001,2023-03-22,43,39.0,43.0,45.714285714285715,2,0.009536793651154795,False
P001,2023-03-23,38,43.0,41.0,45.714285714285715,3,0.013541343689895246,False
P001,2023-03-24,39,38.0,44.0,45.285714285714285,4,0.011322037582171663,False
P001,2023-03-25,53,39.0,53.0,44.57142857142857,5,0.013758942547841699,False
P001,2023-03-26,49,53.0,56.0,44.57142857142857,6,0.012692490271314322,False
P001,2023-03-27,43,49.0,44.0,43.57142857142857,0,0.01607216439900868,False
P001,2023-03-28,39,43.0,39.0,43.42857142857143,1,0.015849431701343134,False
P001,2023-03-29,41,39.0,43.0,43.42857142857143,2,0.013724621311885704,False
P001,2023-03-30,43,41.0,38.0,43.142857142857146,3,0.012568588076899385,False
P001,2023-03-31,43,43.0,39.0,43.857142857142854,4,0.011877200680458135,False
P001,2023-04-01,58,43.0,53.0,44.42857142857143,5,0.011614769837924786,False
P001,2023-04-02,54,58.0,49.0,45.142857142857146,6,0.011891355300987911,False
P001,2023-04-03,39,54.0,43.0,45.857142857142854,0,0.012452128032520073,False
P001,2023-04-04,41,39.0,39.0,45.285714285714285,1,0.008770541866869083,False
P001,2023-04-05,33,41.0,41.0,45.57142857142857,2,0.014396355226341606,False
P001,2023-04-06,34,33.0,43.0,44.42857142857143,3,0.019368384312726507,False
P001,2023-04-07,34,34.0,43.0,43.142857142857146,4,0.018880181995950644,False
P001,2023-04-08,50,34.0,58.0,41.857142857142854,5,0.019489464312438733,False
P001,2023-04-09,57,50.0,54.0,40.714285714285715,6,0.02048171025602111,False
P001,2023-04-10,36,57.0,39.0,41.142857142857146,0,0.02233732454237075,False
P001,2023-04-11,39,36.0,41.0,40.714285714285715,1,0.021098501946757168,False
P001,2023-04-12,48,39.0,33.0,40.42857142857143,2,0.027261477610402773,False
P001,2023-04-13,39,48.0,34.0,42.57142857142857,3,0.02312081251465635,False
P001,2023-04-14,45,39.0,34.0,43.285714285714285,4,0.015871010038952853,False
P001,2023-04-15,50,45.0,50.0,44.857142857142854,5,0.017065291335218852,False
P001,2023-04-16,54,50.0,57.0,44.857142857142854,6,0.013687400910060595,False
P001,2023-04-17,36,54.0,36.0,44.42857142857143,0,0.013318414312297865,False
P001,2023-04-18,39,36.0,39.0,44.42857142857143,1,0.011076153705020152,False
P001,2023-04-19,45,39.0,48.0,44.42857142857143,2,0.013161475962933,False
P001,2023-04-20,32,45.0,39.0,44.0,3,0.013981054223787908,False
P001,2023-04-21,43,32.0,45.0,43.0,4,0.02143231585446988,False
